course_id,course_title,descriptions,level,subject,url,is_paid
1070968,Ultimate Investment Banking Course,"Our dedicated approach and solid methodology will teach you the tools and skills of a good investment banker.
This course is also for anyone who wants to work in Investment Banking, and wants to learn about the necessary skills required to get into this sector.
No prior technical knowledge is required.
We have DIRECT EXAMPLES  for all of the concepts that we will be introducing, so you can practice directly as you go forward into the course.
Banking Organization: Understand how a bank really works, the main actors and how they interact with each others.
Introduction to the Financial Markets: Introducing the different markets where the assets classes are exchanged. We will cover Equities, Bonds, Commodities and Forex.
Interest Rates: Learn about the most common interest rates, from simple to periodic compound rates, those will not have any secrets for you!
Derivatives: Derivatives are enigmatic for most people, but they are not. You will learn about futures, forwards, Swaps, Credit Derivatives and so on.
Options: From Vanilla to Exotic options, you will master all the options types and understand how to draw their profit & loss graphs. You will also learn about the Greeks, which are fundamental risk indicators if you want to work with the options !
Volatity: Very important concepts in investment banking, you will learn about the volatity and the different methodology to estimate it, such as the implied, skew and smile volatility.
Bonds: Bonds are of the most traded products on the financial markets. You will learn how to price a bond and familiarize yourself with the concepts of convexity and sensitivity.
Banking Regulations: You will discover the main financial institutions, their role, and also learn about the new financial regulations that came out after the 2008 crisis.

Why should you take this course? Different possibilities :
- You are not working in banking but you want to step in this industry andmake a jump in your career. All the required knowledge and understanding for this industry have been gathered in this Package.
- You are afinance student. You are really struggling in finding a highly-valued and challenging position in Banking. You would like to start your career with a great asset on your resume and you are motivated to reach that goal.
- You are already a banking employee, but you are working in a department that does not fit your ambitions, and you would like to join a more challenging department such as front-office, and work in the exciting environment of the trading room. In order to do that you need to prove that you can bring value to the team.",All Levels,Business Finance,https://www.udemy.com/ultimate-investment-banking-course/,True
1113822,Complete GST Course & Certification - Grow Your CA Practice,"WHAT IS GST ?
GST stands for “Goods and Services Tax”, and is proposed to be a comprehensive indirect tax levy on manufacture, sale and consumption of goods as well as services at the national level.
Tax payers need to be GST compliant to be able to test system changes in time. Depending on the operating geographies, size and sector, the changes would be substantial and may require proactive planning with a time-bound action plan.
In order to prepare for the implementation of GST, companies need to understand GST policy development and its implications for scenario planning and transition roadmap preparation.We at clearTax aim to  provide our learners with all the information and tools required to prepare themselves to face the new tax regime",All Levels,Business Finance,https://www.udemy.com/goods-and-services-tax/,True
1006314,Financial Modeling for Business Analysts and Consultants,"What is the aim of this course?
As a business analyst or a consultant, you will have to from time to time create financial models. They are a bit different than business models. In business models, you go into details of operations and you focus on getting the links on the KPIs. Those models are usually done for internal purposes, to manage in the right direction the business. Financial models on the other hand are more for external users. You concentrate on creating a picture of the business in a standardized, understood by everybody way. You also want to create financial statements: profit & loss statement, balance sheet statement, and cash flow statement.
On top of that, you use financial statements for valuation purposes.
The most typical situation when, as a business analyst or a consultant, you will have to prepare such a model is connected with selling or purchasing a company. You may be doing it on the sell side or on the buy side.  Financial modeling is done as a part of strategy projects, turnaround projects, and due diligence.
I willNOTteach you everything on financial modeling because it is simply not efficient (and frankly you don’t need it). This course is organized around the 80/20 rule and I want to teach you the most useful (from a business analyst/consultant perspective) ways to go as fast as possible from rough description to working model in Excel that you can make more and more complicated.
The aim of this course is that you are able to do a financial model of the business as fast as possible.
If done properly, this course will transform you in a few days into a pretty good business analyst who knows how to create fast and efficiently financial models.
This course is based on my 15 years of experience as a consultant in top consulting firms and as a Board Member responsible for strategy, performance improvement, and turn-arounds in the biggest firms from Retail, FMCG, SMG, B2B, and services sectors that I worked for. I have carried out or supervised over 90 different performance improvement projects in different industries that generated a total of 2 billion in additional EBITDA. On the basis of what you will find in this course, I have trained in person over 100 consultants, business analysts, and managers who now are Partners in PE and VC funds, Investment Directors and Business Analysts in PE and VC, Operational Directors, COO, CRO, CEO, Directors in Consulting Companies, Board Members, etc. On top of that my courses onUdemywere already taken by more than224 000 studentsincluding people working in EY, Walmart, Booz Allen Hamilton, Adidas, Naspers, Alvarez & Marsal, PwC, Dell, Walgreens, Orange, and many others.
I teach step by step on the basis of Excel files that will be attached to the course.  We will go through a real-life example of a business and create the financial model for it. To make the best out of the course you should follow my steps and repeat what I do with the data after every lecture. Don’t move to the next lecture if you have not done what I show in the lecture that you have gone through.
I assume that you know basic Excel so the basic features (i.e. how to write formulas in Excel) are not explained in this course. I concentrate on intermediate and advanced solutions and purposefully get rid of some things that are advanced yet later become very inflexible and useless (i.e. naming the variables).
To every lecture, you will find attached  (in additional resources) the Excel shown in the Lecture so as a part of this course you will also get a library of ready-made analyses that can, with certain modifications, be applied by you in your work.
Why have I decided to create this course?
This course is a part of my attempt to help business analysts and consultants gain fast useful knowledge that will help them excel at their work. I have done 10 other courses that will help you become a great business analyst or consultant. I have covered already: hacks and tricks in Excel, business modeling, market research, management productivity hacks, and others. Now you have the opportunity to learn financial modeling in Excel
In what way will you benefit from this course?
The course is a practical, step-by-step guide loaded with tons of analyses, tricks, and hints that will significantly improve the speed with which you do the analyses as well as the quality of the conclusions coming out of available in your company data. There is little theory – mainly examples, a lot of tips from my own experience as well as other notable examples worth mentioning. Our intention is that thanks to the course you will know:
What is the difference between business models and financial models?
How to model cost positions and balance sheet positions?
How to create on the basis of these financial statements: profit and loss statement, balance sheet statement, and cash flow statements
How to make sure that there is integrity in the model?
What analyses and conclusions you can draw from the financial model?
You can also ask me any question either through the discussion mode or by messaging me directly.
How the course is organized?
The course is divided currently into 10 sections and will be adding new sections to address other important issues. Currently, you will find the following sections:
Introduction.We begin with a little intro to the course
Modeling of Profit & Loss account.In this section, we start by showing how to model cost positions (except for Depreciation)and how to create on the      basis of this a profit & loss statement
Capex and Depreciation.  Capex and Depreciation are some of the most difficult elements that you will model in Excel. Therefore, we have created a separate section devoted just to this subject. In this section, you will learn how to follow specific groups of assets, track their gross and net value, and calculate depreciation.
Working Capital. Working capital is crucial to the business as it defines how much money you have to have engaged in the business. I will show you how to model      specific positions of Working Capital
Debt.  You may need external sources of financing for the company. I will show you how to model loans and get the necessary info to create a balance sheet later.
Equity. In this section, I will show you how to model equity and all relations with shareholders
Balance sheet modeling. Here we get everything together to model the balance sheet statement.
Cash flow modeling.  Here we get everything together to model the cash flow statement.  Here we will check the integrity of the model as well.
Analyses of the Financial Model.  In the end, on the basis of a ready model, I will try to draw conclusions that will show us whether the business we have been analyzing is interesting or not
Valuation. In this section, I will show you the main valuation methods. We will look at DCF and the Multiplier method
Business modeling. In many cases, you will have no time to do a full financial model. In such situations, you may resort to creating a business model. A business model will usually have only a P&L statement. In some cases also simplified the Cash Flow statement. In this section, we will see how you can create such models. You can also get access to more than 30 models. You will see how to model e-commerce, marketplace, real estate, subscription businesses, and many more.
You will also be able to download many additional resources
Excels with analyses shown in the course
Links to additional presentations and movies
Links to books worth reading
At the end of my course, students will be able to…
You will master financial modeling in Excel at the needed for a business analyst and consultant level
Understand the main challenges in financial modeling
Perform the analyses of the financial model
You will get a ready model that you can utilize for your purposes
Who should take this course? Who should not?
Business analysts
Researchers
Controllers
Consultants
Small and medium business owners
Startups founders
What will students need to know or do before starting this course?
Basic Excel
Basic knowledge of economics or finance",Intermediate Level,Business Finance,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True
1210588,Beginner to Pro - Financial Analysis in Excel 2017,"Why this course is for you
You want to increase your Excel skills to become more efficient at work, school, or any personal project. You want to learn powerful Excel functions that will allow you to automate much of your work and make your life easier.  You want to learn how to setup and format different financial setups and use advance functions to deeper analyze your data.
The functions and formulas you will learn will not only teach you how to use Excel for finance, but it will teach you tools to become an Excel power user in other areas. I will teach you shortcuts and tips that will impress anyone employer.
At the end of each section I have also created quizzes for you to make sure you are understanding the concepts and remember them for life!
What you will learn:
What you will need:
30-day money back guarantee
In the rare case that you feel the course was not helpful or isn't for you I will refund your money up to 30 days.  You have nothing to lose and everything to gain.
",All Levels,Business Finance,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True
1011058,How To Maximize Your Profits Trading Options,"*****Join Over 1,680 Students Currently Enrolled In This Course*****
This course is a complete step-by-step guide on how to create consistent returns trading Short Strangles.We reveal a trading strategy that is commonly used by Hedge Funds, Market Makers and Floor Traders.

Requirements
A computer with internet connection
BEFORE ENROLLING IN THIS COURSE PLEASE COMPLETE OUR FREE COURSE -""Trading Options For Consistent Returns: Options Basics""

Here is what you will get from this course
The NavigationTrading Implied Volatility Indicator- Load it directly to your trading platform!
The NavigationTrading Watch List- The most profitable symbols to trade...AND which ones to avoid!
Learn to make money trading 15 minutes per day. You DO NOT have to be glued to your computer screen
How to place high probability trades, that win over 90% of the time
Learn how to make money on trades if the market goes UP, DOWN or SIDEWAYS
How to open and close winning trades...and most importantly, how to fix a trade that goes bad
A little known trick to learn your Probability of Profit, before you even enter the trade
Lots of real life trade examples...using my own money
Students of our course can get a reduced commission rate at a top rated options broker
Unlimited email support from the instructor and his trading team

Who is this course for?
Anyone! Whether you are a brand new investor, or veteran trader, this course will provide you with the tools necessary to reach your financial goals. You could pay for the cost of this course with your first trade!",Intermediate Level,Business Finance,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True
739964,Investing And Trading For Beginners: Mastering Price Charts,"The world of technical analysis is a bewildering and confused mass of strategies, books, definitions, indicators and experts. You have probably noticed there are volumes of information out there about charts, systems, and methods for analyzing financial markets.
So why is everyone still looking for a solution?
Simply put, there is a difference between knowledge and application. In this game, you can understand a bunch of definitions and jargon and never develop the skill set for proper analysis.
This course is a perfect solution for the beginner. It fills the need for a simple, effective method to analyze Price Charts and aims to close the gap between knowledge of technical analysis and real-world skills for making money and controlling risk. Experienced investors and traders will discover an excellent refresher for increasing profitability.
If You Have 1 Hour, You Can Learn How To Master Price Charts!
A Powerful Skill At Your Fingertips
Price Chart Analysis is a proven method for objectively managing risk and determining trends. Proficiency in technical analysis can build a foundation for creating a clear plan to buy and sellANYinvestment.
Content And Overview
This course has 24 lectures with practice exercises and studies in each section to help you integrate course concepts and master the fundamentals more quickly.
You will learn a simple, effective skill for reading trends, making money and controlling risk. All with the use of free internet tools, even if you know nothing about investing, trading or technical analysis.
You will be guided every step of the way by a professional trader who uses Price Charts and technical analysis every day to profit from the financial markets.
By the end of the course you will have acquired an analysis skill with all the tools required to make better investment and trade decisions.",Beginner Level,Business Finance,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains","You are about to learn exactlyWHICHtrades to take,WHENto take them, andHOWto manage them consistently...in any market and any time frame.
This course is designed for students of ALL LEVELS. In this detailed training, I am going to teach you exactly how to recognize, set-up, enter and manage high-probability trades...one after another.
No guessing
No confusing and conflicting indicators
I will show you how to trade like a Wall Street insider and achieve consistency, no matter if the market goes up, down or sideways. This pattern-recognition analysis is based on over25,000hours of screen trading experience,
You will learn all the tricks, from the role of randomness in the markets (that few traders recognize), to characteristic trend patterns, to specific price-action triggers that take the guesswork and stress out of consistent application.
I will teach you exactly how to manage all your trades. You will learn all the best ways to systematically analyze and implement, with 'risk-based' games, price-action, and intuitive trade management.
From lecture to lecture, I take you by the hand and show you how to trade like a pro:
How my structured trading approach protects you from serious loss
How to read price action and gauge momentum
How to calculate risk BEFORE you enter the market to size your positions and manage your account
Why you need a tactical, systematic approach to trading the markets
And when I am finished, you will be able to:
Know the preliminary risk amount on each and every trade
Set up trades with limited risk and unlimited profit potential
Avoid getting caught in a bear market
You will also receive thisBONUS- Detailed logic and script definitions for use in:
Broker Scanning Platforms
Third-Party Software Tools
Custom Algorithm Programming
This means you will be able to find new trading opportunities quickly. I am able to scan thousands of stocks and dozens of liquid Forex pairs in minutes to find the best trade candidates.
Based on 20 years of experience with real-world 'in the trenches' trading, you will be on your way to mastering the pattern recognition skills required to effectively trade the screen.
Why try to learn how to trade on your own?
Let a 20-year veteran of the trading game guide you step-by-step through the process.
CHART PATTERN PROFITSis a must-have for anyone who wants to achieve consistency in the financial markets.

",All Levels,Business Finance,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True
1167710,The Only Investment Strategy You Need For Your Retirement,"The Strategy will work today and in future

If there is only 1 investment strategy you can choose what would it be?
In this course I will be showing you 1 simple ETF to buy and that is the only ETF you need to buy to achieve a double digit return.
If you need to build your retirement fund and you have at least 10 years to build this will be the strategy to embark. If you need to build your children education or saving account and you have at least 10 years for the money to grow this will be the one.
Learn all about
Dollar Cost Averaging and Why it work
Compounding Return and why it is the 8th wonder of the world
What you will get in this course is a step by step
1) Which vehicle do we begin with that can generate a double digit return without us doing any work at all? Is there such a stock or fund available?
2) Was there any risk involved? And why over a 10 years period you would still be coming out ahead of the rest. Even if you have invested during the 2008 global crash and have hold on till 2016. You still come out ahead by a double digit return every year.
3) How do we get started? Start by dollar cost averaging
4) How do we compound our return?
I will also present to you the backtest result of the fund
If you have started at 2001 (September 2001 attacked) and held it till today
If you have started at 2008 (Global Financial Crisis) and held till today
In both the above case if the fund is held till today. Both have achieve a doubledigit return every year on average

This course is for you to build your retirement fund or your children saving (if you have at least 10 years to wait)

The fund mention above pay dividend and that is not included in the calculation and I will even show you how to sell a covered call to increase your return

Enroll now and I will see you on the other side",All Levels,Business Finance,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True
592338,Forex Trading Secrets of the Pros With Amazon's AWS,"Being aprofitableForex trader in the past has beenalmost impossible. Butthe game has recently changed!Amazon has recently updated their AWS Virtual Server Program to give youForex trading superpowers.
How do we know this?We build very large trading systems for hedge-funds and private equity firms with Amazon's AWS. Now, with Amazon's recent update, it's now possible for retail traders like you to have the same power.
Imagine being able to test hundreds of Forex robots that would have taken months, in just an hour. What this means to you is that in this course you will learn howyou can discover your own personal, profitable trading robotin just a few clicks of your mouse.
Imagine being able to trade sub-10-millisecond on high-powered, blazing low-latency trade servers that can literally turn losing trades into winning trades. What this means to you is that in this course you will learn how strategies that can't make money trading from your home,you can now unleash and make it profitable.
Imagine having the trading advantages of computing power and trading infrastructure that was only available to professional traders for thousands of dollars per month. What this means to you is that in this course you will lean howyou can easily control and access the advantages that professional traders use to make money.
Now imagine you can have all this forfree!
Free?I know what you're thinking. This can't be true, and there must be a catch. Well, it is true. And the catch is that it's only free for a year, and Amazon might revoke this offer at any time.
Soclaim your free year now, and discover yourprofitable trading robots, thentrade like crazyfor the next year.
When your year is over,you will learn a rarely used trick (which is perfectly legal, and totally okay with Amazon) toget all your computing power for pennies per day.
So start now and claim your free year!

This course is taught through 3 types of lessons:
Quick-Success LessonsThese don't waste your time with fluff, so you can begin profiting from this course right now. They have you achieve specific goals in step-by-step lessons so you can discover your own new profitable trading robots, setting up power trading systems, all, right away, with no delays.
Bite-Sized Lessons as a ResourceWe tried to keep all the lessons bite-sized so you can use this course as a resource. Whenever you need to do something, you can refer to that lesson right away. What this means to you is that you will never ""get stuck"". Just find the lesson, and it will walk you through any technical issue.
Concepts & IdeasThese lessons will give you more background so you can taking your trading profits to the next level. You will be pro at using these servers, and allow you to use your new knowledge to expand your trading above and beyond.
*NOTE: A Living CourseThis is a living, breathing course. As you ask questions in the Discussion Section, we will add lesson. This course will continue to grow into your largest, growing resource.
Don't miss this opportunity to improve your trading and capture the power of Amazon's AWS servers. Invest in you. You owe it to yourself. Take the course today.
Course Bonus:FREE Ready-To-Go Servers: Our techies have set up pre-configured, pre-installed, and ready to go servers that you can launch in seconds to begin finding your own personal trading robots. Unleash your potential though fast backtesting.
Plus! You also get:",All Levels,Business Finance,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,True
742602,Financial Management Risk and Return For Securities,"This course is about the essence of Financial Management that isRisk and Return of Securities/Stocks.This is for everyone who wants a firm grip over the concepts related to the risk and return for the stocks and then comparing the real worth of their stocks with the market price.
This course includes mainly 8 sections and 19 lectures. The important concepts taught in the course are highlighted below.
The last section includesNotes,Practice QuestionsandExcel Practice Exercises
The above mentioned concepts are taught in a sequence by solving questions related to every topic in detail and then practicing each one of them on Excel as well.
The real benefit for students is to get the comprehensive knowledge in just one course and master the concepts related to stocks' risk and return and then evaluation of the importance for portfolio investments. Students can get the benefit ofpracticing the formulas on Excelas well.
So just grab the opportunity and get enrolled to make your knowledge up to date and firm about the concepts ofRisk and Return of Stocks!",All Levels,Business Finance,https://www.udemy.com/risk-and-return-finance/,True
